ID,Name,Suburb,Address,Cuisine,Phone,Website,EatClub URL,First Table URL,Price Range,Business Type,Happy Hour,Weekly Specials,Deals,Opening Hours,Image URLs,Latitude,Longitude,Overall Rating,Status,Created At,Updated At
503,Caffe Cherry Beans - Erindale,Erindale,,,,,https://eatclub.com.au/venue/caffe-cherry-beans-erindale,,,,{},[],"[{""title"":""EatClub Deal Available"",""source"":""EatClub"",""description"":""Check out our EatClub deals!""}]",{},https://eccdn.com.au/images/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E_image_2_1764270837339.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E_image_4_1764270894657.jpg; https://eccdn.com.au/images/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E_image_0_1764270837339.jpg; https://eccdn.com.au/images/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E_image_1_1764270837339.jpg; https://eccdn.com.au/images/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E/CD2B3B44-ACAB-4712-8EEE-2F7B4DCB446E_image_3_1764270869151.jpg,,,,active,2026-01-07T23:21:18.525Z,2026-01-08T23:33:09.736Z
1385,Masala Magic,Belconnen,,,,,https://eatclub.com.au/venue/masala-magic,,,,{},[],"[{""title"":""EatClub Deal Available"",""source"":""EatClub"",""description"":""Check out our EatClub deals!""}]",{},https://eccdn.com.au/images/7E425466-A7D6-4948-BA15-04A4F3E844B3/7E425466-A7D6-4948-BA15-04A4F3E844B3_image_0_1761789233810.jpg; https://eccdn.com.au/images/7E425466-A7D6-4948-BA15-04A4F3E844B3/7E425466-A7D6-4948-BA15-04A4F3E844B3_image_4_1761789305812.jpg; https://eccdn.com.au/images/7E425466-A7D6-4948-BA15-04A4F3E844B3/7E425466-A7D6-4948-BA15-04A4F3E844B3_image_1_1761789305812.jpg; https://eccdn.com.au/images/7E425466-A7D6-4948-BA15-04A4F3E844B3/7E425466-A7D6-4948-BA15-04A4F3E844B3_image_2_1761789305812.jpg; https://eccdn.com.au/images/7E425466-A7D6-4948-BA15-04A4F3E844B3/7E425466-A7D6-4948-BA15-04A4F3E844B3_image_3_1761789305812.jpg,,,,active,2026-01-08T23:33:09.491Z,2026-01-08T23:33:09.491Z
1386,BD DINE,Harrison,"82/170 Flemington Rd, Harrison ACT 2914, Australia",,0488 789 441,,https://eatclub.com.au/venue/bd-dine,,,,{},[],[],"{""friday"":""12:00 – 10:30 PM"",""monday"":""12:00 – 10:00 PM"",""sunday"":""9:30 AM – 10:00 PM"",""tuesday"":""12:00 – 10:00 PM"",""saturday"":""9:30 AM – 10:30 PM"",""thursday"":""12:00 – 10:00 PM"",""wednesday"":""12:00 – 10:00 PM""}",https://eccdn.com.au/images/C27A8D5B-F20C-47EE-BBB6-2046786AC983/C27A8D5B-F20C-47EE-BBB6-2046786AC983_image_0_1764131075820.jpg; https://eccdn.com.au/images/C27A8D5B-F20C-47EE-BBB6-2046786AC983/C27A8D5B-F20C-47EE-BBB6-2046786AC983_image_1_1764131075820.jpg; https://eccdn.com.au/images/C27A8D5B-F20C-47EE-BBB6-2046786AC983/C27A8D5B-F20C-47EE-BBB6-2046786AC983_image_2_1764131167236.jpg; https://eccdn.com.au/images/C27A8D5B-F20C-47EE-BBB6-2046786AC983/C27A8D5B-F20C-47EE-BBB6-2046786AC983_image_3_1764131167236.jpg; https://eccdn.com.au/images/C27A8D5B-F20C-47EE-BBB6-2046786AC983/C27A8D5B-F20C-47EE-BBB6-2046786AC983_image_4_1764131167236.jpg,-35.2006911,149.1499219,,active,2026-01-08T23:33:09.895Z,2026-01-08T23:33:09.895Z
1195,Queenies,Kingston,"26 Giles St, Kingston ACT 2604, Australia",,(02) 6174 4096,https://www.queeniesatkingston.com.au/,https://eatclub.com.au/venue/queenies,,$$,Restaurant,{},[],"[{""title"":""Today30% Offfri30% Offsat30% Offsun30% Offmon25% Offtue25% Offwed25% Off"",""source"":""EatClub"",""validUntil"":null,""description"":""Today30% Offfri30% Offsat30% Offsun30% Offmon25% Offtue25% Offwed25% Off""}]","{""friday"":""4:00 – 10:00 PM"",""monday"":""4:00 – 10:00 PM"",""sunday"":""4:00 – 10:00 PM"",""tuesday"":""4:00 – 10:00 PM"",""saturday"":""4:00 – 10:00 PM"",""thursday"":""4:00 – 10:00 PM"",""wednesday"":""4:00 – 10:00 PM""}",https://eccdn.com.au/images/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2_image_4_1727151592848.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2_image_3_1727151575450.jpg; https://eccdn.com.au/images/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2_image_2_1727151575450.jpg; https://eccdn.com.au/images/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2_image_0_1727151575450.jpg; https://eccdn.com.au/images/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2/92E75C0B-3BAF-4B4C-9493-E67ACE734EA2_image_1_1727151575450.jpg,-35.3160092,149.1401557,4.40,active,2026-01-07T23:22:01.025Z,2026-01-08T23:33:10.376Z
1216,Asian Noodle House Woden,Phillip,"6 Launceston St, Phillip ACT 2606, Australia",Asian,(02) 6281 7001,https://asiannoodlehousewoden.com.au/,https://eatclub.com.au/venue/asian-noodle-house-woden,,$,Restaurant,{},[],"[{""title"":""EatClub Deal Available"",""source"":""EatClub"",""description"":""Check out our EatClub deals!""}]","{""friday"":""11:00 AM – 9:30 PM"",""monday"":""11:00 AM – 9:30 PM"",""sunday"":""5:00 – 9:00 PM"",""tuesday"":""11:00 AM – 9:30 PM"",""saturday"":""11:00 AM – 9:30 PM"",""thursday"":""11:00 AM – 9:30 PM"",""wednesday"":""11:00 AM – 9:30 PM""}",https://eccdn.com.au/images/26466FAC-41F3-4D34-A46D-990430B5389B/26466FAC-41F3-4D34-A46D-990430B5389B_image_0_1762796584285.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/26466FAC-41F3-4D34-A46D-990430B5389B/26466FAC-41F3-4D34-A46D-990430B5389B_image_4_1762796725217.jpg; https://eccdn.com.au/images/26466FAC-41F3-4D34-A46D-990430B5389B/26466FAC-41F3-4D34-A46D-990430B5389B_image_1_1762796614149.jpg; https://eccdn.com.au/images/26466FAC-41F3-4D34-A46D-990430B5389B/26466FAC-41F3-4D34-A46D-990430B5389B_image_2_1762796614149.jpg; https://eccdn.com.au/images/26466FAC-41F3-4D34-A46D-990430B5389B/26466FAC-41F3-4D34-A46D-990430B5389B_image_3_1762796614149.jpg,-35.3404234,149.0843245,3.90,active,2026-01-07T23:22:02.322Z,2026-01-08T23:33:10.462Z
1387,Water's Edge Fine Dining Restaurant,Parkes,"40 Parkes Pl E, Parkes ACT 2600, Australia",,(02) 6273 5066,,https://eatclub.com.au/venue/water-s-edge-fine-dining-restaurant,,$$$$,,{},[],[],"{""friday"":""12:00 – 3:00 PM, 6:00 – 9:30 PM"",""monday"":""6:00 – 9:30 PM"",""sunday"":""12:00 – 3:00 PM, 6:00 – 9:30 PM"",""tuesday"":""6:00 – 9:30 PM"",""saturday"":""12:00 – 3:00 PM, 6:00 – 9:30 PM"",""thursday"":""12:00 – 3:00 PM, 6:00 – 9:30 PM"",""wednesday"":""12:00 – 3:00 PM, 6:00 – 9:30 PM""}",https://www.watersedgecanberra.com.au/wp-content/uploads/2025/01/logocxv.png,-35.2970651,149.1338166,,active,2026-01-08T23:33:10.209Z,2026-01-08T23:33:10.209Z
1388,Grease Monkey Belconnen,Belconnen,"Shop 332B, Westfield Belconnen, Level 3, Belconnen ACT 2617, Australia",American,(02) 6189 6050,,https://eatclub.com.au/venue/grease-monkey-belconnen,,,,{},"[{""title"":""EatClub Deal Available"",""source"":""EatClub"",""description"":""Check out our EatClub deals!""}]","[{""title"":""EatClub Deal Available"",""source"":""EatClub"",""description"":""Check out our EatClub deals!""},{""title"":""EatClub Deal Available"",""source"":""EatClub"",""description"":""Check out our EatClub deals!""}]","{""friday"":""11:00 AM – 9:30 PM"",""monday"":""11:00 AM – 9:30 PM"",""sunday"":""11:00 AM – 9:30 PM"",""tuesday"":""11:00 AM – 9:30 PM"",""saturday"":""11:00 AM – 9:30 PM"",""thursday"":""11:00 AM – 9:30 PM"",""wednesday"":""11:00 AM – 9:30 PM""}",https://eccdn.com.au/images/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F_image_3_1761810952262.jpg; https://eccdn.com.au/images/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F_image_4_1761821734622.jpg; https://eccdn.com.au/images/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F_image_0_1761810952262.jpg; https://eccdn.com.au/images/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F_image_3_1761821513514.jpg; https://eccdn.com.au/images/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F_image_2_1761821513514.jpg,-35.2376293,149.0646901,,active,2026-01-08T23:33:10.356Z,2026-01-08T23:33:10.356Z
1389,Rakkas,Kingston,"18/19 Eastlake Parade, Kingston ACT 2604, Australia",,(02) 6239 7378,,https://eatclub.com.au/venue/rakkas,,,,{},[],[],"{""friday"":""12:00 – 2:30 PM, 5:30 – 10:00 PM"",""monday"":""CLOSED"",""sunday"":""CLOSED"",""tuesday"":""12:00 – 2:30 PM, 5:30 – 9:00 PM"",""saturday"":""12:00 – 2:30 PM, 5:30 – 10:00 PM"",""thursday"":""12:00 – 2:30 PM, 5:30 – 9:00 PM"",""wednesday"":""12:00 – 2:30 PM, 5:30 – 9:00 PM""}",https://eccdn.com.au/images/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4_image_4_1727228174704.jpg; https://eccdn.com.au/images/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4_image_4_1727233581884.jpg; https://eccdn.com.au/images/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4_image_1_1727228078404.jpg; https://eccdn.com.au/images/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4_image_2_1727228078404.jpg; https://eccdn.com.au/images/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4_image_3_1727228078404.jpg,-35.3110441,149.1457186,,active,2026-01-08T23:33:10.679Z,2026-01-08T23:33:10.679Z
1390,Mama's Trattoria,Canberra,"Shop 4/45 W Row, Canberra ACT 2601, Australia",Italian,(02) 6248 0936,,https://eatclub.com.au/venue/mama-s-trattoria,,$$,,{},[],[],"{""friday"":""11:30 AM – 3:00 PM, 5:00 – 9:30 PM"",""monday"":""11:30 AM – 3:00 PM, 5:00 – 9:00 PM"",""sunday"":""CLOSED"",""tuesday"":""11:30 AM – 3:00 PM, 5:00 – 9:00 PM"",""saturday"":""5:00 – 9:30 PM"",""thursday"":""11:30 AM – 3:00 PM, 5:00 – 9:30 PM"",""wednesday"":""11:30 AM – 3:00 PM, 5:00 – 9:00 PM""}",,-35.2787556,149.1279101,,active,2026-01-08T23:33:10.802Z,2026-01-08T23:33:10.802Z
397,The Mustang Nepalese Restaurant & Bar,Farrer,"4 Farrer Pl, Farrer ACT 2607, Australia",Asian,(02) 6286 8088,https://themustangcanberra.com.au/,https://eatclub.com.au/venue/the-mustang-nepalese-restaurant-bar,,$$,Restaurant,{},[],[],"{""friday"":""5:00 – 9:00 PM"",""monday"":""5:00 – 9:00 PM"",""sunday"":""5:00 – 9:00 PM"",""tuesday"":""5:00 – 9:00 PM"",""saturday"":""5:00 – 9:00 PM"",""thursday"":""5:00 – 9:00 PM"",""wednesday"":""5:00 – 9:00 PM""}",,-35.3754303,149.1015385,4.40,active,2026-01-07T23:21:12.233Z,2026-01-08T23:33:11.506Z
