ID,Name,Suburb,Address,Cuisine,Phone,Website,EatClub URL,EatClub Slug,Happy Hour,Weekly Specials,Deals,First Table URL,Price Range,Image URLs,Opening Hours,Latitude,Longitude,Created At,Updated At
190,Water's Edge Fine Dining Restaurant,Parkes,"40 Parkes Pl E, Parkes ACT 2600, Australia",,(02) 6273 5066,,https://eatclub.com.au/venue/water-s-edge-fine-dining-restaurant,,,,,,$$$$,https://www.watersedgecanberra.com.au/wp-content/uploads/2025/01/logocxv.png,"{""friday"":""12:00 – 3:00 PM, 6:00 – 9:30 PM"",""monday"":""6:00 – 9:30 PM"",""sunday"":""12:00 – 3:00 PM, 6:00 – 9:30 PM"",""tuesday"":""6:00 – 9:30 PM"",""saturday"":""12:00 – 3:00 PM, 6:00 – 9:30 PM"",""thursday"":""12:00 – 3:00 PM, 6:00 – 9:30 PM"",""wednesday"":""12:00 – 3:00 PM, 6:00 – 9:30 PM""}",-35.2970651,149.1338166,2026-01-07T23:20:59.748Z,2026-01-07T23:20:59.748Z
1219,Grease Monkey Belconnen,Belconnen,"Shop 332B, Westfield Belconnen, Level 3, Belconnen ACT 2617, Australia",American,(02) 6189 6050,,https://eatclub.com.au/venue/grease-monkey-belconnen,,[object Object],[object Object]; [object Object]; [object Object]; [object Object],[object Object]; [object Object]; [object Object],,,https://eccdn.com.au/images/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F_image_3_1761810952262.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F_image_4_1761821734622.jpg; https://eccdn.com.au/images/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F_image_0_1761810952262.jpg; https://eccdn.com.au/images/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F_image_3_1761821513514.jpg; https://eccdn.com.au/images/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F/2108CE8D-26BB-4A1E-B0D4-55DD4FA8A10F_image_2_1761821513514.jpg,"{""friday"":""11:00 AM – 9:30 PM"",""monday"":""11:00 AM – 9:30 PM"",""sunday"":""11:00 AM – 9:30 PM"",""tuesday"":""11:00 AM – 9:30 PM"",""saturday"":""11:00 AM – 9:30 PM"",""thursday"":""11:00 AM – 9:30 PM"",""wednesday"":""11:00 AM – 9:30 PM""}",-35.2376293,149.0646901,2026-01-07T23:22:02.523Z,2026-01-08T00:57:47.558Z
1229,Urban Pantry,Griffith,"5 Bougainville St, Griffith ACT 2603, Australia",,(02) 6162 3556,,https://eatclub.com.au/venue/urban-pantry,,,,[object Object],,$$,https://eccdn.com.au/images/0184DEA6-F053-42CC-9749-36E2CFC204CD/0184DEA6-F053-42CC-9749-36E2CFC204CD_image_0_1760344116063.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/0184DEA6-F053-42CC-9749-36E2CFC204CD/0184DEA6-F053-42CC-9749-36E2CFC204CD_image_4_1760344222858.jpg; https://eccdn.com.au/images/0184DEA6-F053-42CC-9749-36E2CFC204CD/0184DEA6-F053-42CC-9749-36E2CFC204CD_image_3_1760394490269.jpg; https://eccdn.com.au/images/0184DEA6-F053-42CC-9749-36E2CFC204CD/0184DEA6-F053-42CC-9749-36E2CFC204CD_image_4_1760394490269.jpg; https://eccdn.com.au/images/0184DEA6-F053-42CC-9749-36E2CFC204CD/0184DEA6-F053-42CC-9749-36E2CFC204CD_image_4_1760394526445.jpg,"{""friday"":""5:30 AM – 3:00 PM"",""monday"":""5:30 AM – 2:30 PM"",""sunday"":""5:30 AM – 3:00 PM"",""tuesday"":""5:30 AM – 2:30 PM"",""saturday"":""5:30 AM – 3:00 PM"",""thursday"":""5:30 AM – 2:30 PM"",""wednesday"":""5:30 AM – 2:30 PM""}",-35.3207620,149.1324300,2026-01-07T23:22:03.162Z,2026-01-08T00:57:50.030Z
1307,WHITE CHACO,Braddon,"g10/27 Lonsdale St, Braddon ACT 2612, Australia",,0401 509 435,,https://eatclub.com.au/venue/white-chaco,,,,[object Object],,$$,https://eccdn.com.au/images/68B6BE03-E947-4752-9B92-799CAEE786C1/68B6BE03-E947-4752-9B92-799CAEE786C1_image_0_1727246406346.jpg; https://eatclub.com.au/_next/static/media/eatclub.305f8e86.svg; https://eccdn.com.au/images/68B6BE03-E947-4752-9B92-799CAEE786C1/68B6BE03-E947-4752-9B92-799CAEE786C1_image_4_1727743302525.jpg; https://eccdn.com.au/images/68B6BE03-E947-4752-9B92-799CAEE786C1/68B6BE03-E947-4752-9B92-799CAEE786C1_image_4_1727742744957.jpg; https://eccdn.com.au/images/68B6BE03-E947-4752-9B92-799CAEE786C1/68B6BE03-E947-4752-9B92-799CAEE786C1_image_2_1727246406346.jpg; https://eccdn.com.au/images/68B6BE03-E947-4752-9B92-799CAEE786C1/68B6BE03-E947-4752-9B92-799CAEE786C1_image_4_1727742880958.jpg,"{""friday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM"",""monday"":""5:30 – 9:00 PM"",""sunday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM"",""tuesday"":""5:30 – 9:00 PM"",""saturday"":""5:30 PM – 12:30 AM"",""thursday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM"",""wednesday"":""5:30 – 9:00 PM""}",-35.2719619,149.1326108,2026-01-07T23:22:08.223Z,2026-01-08T00:57:59.129Z
1189,Rakkas,Kingston,"18/19 Eastlake Parade, Kingston ACT 2604, Australia",,(02) 6239 7378,,https://eatclub.com.au/venue/rakkas,,,,,,,https://eccdn.com.au/images/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4_image_4_1727228174704.jpg; https://eccdn.com.au/images/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4_image_4_1727233581884.jpg; https://eccdn.com.au/images/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4_image_1_1727228078404.jpg; https://eccdn.com.au/images/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4_image_2_1727228078404.jpg; https://eccdn.com.au/images/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4/8E489252-F5DC-44EE-9EB8-3D6A7487F7A4_image_3_1727228078404.jpg,"{""friday"":""12:00 – 2:30 PM, 5:30 – 10:00 PM"",""monday"":""CLOSED"",""sunday"":""CLOSED"",""tuesday"":""12:00 – 2:30 PM, 5:30 – 9:00 PM"",""saturday"":""12:00 – 2:30 PM, 5:30 – 10:00 PM"",""thursday"":""12:00 – 2:30 PM, 5:30 – 9:00 PM"",""wednesday"":""12:00 – 2:30 PM, 5:30 – 9:00 PM""}",-35.3110441,149.1457186,2026-01-07T23:22:00.661Z,2026-01-08T00:58:09.933Z
91,Mama's Trattoria,Canberra,"Shop 4/45 W Row, Canberra ACT 2601, Australia",Italian,(02) 6248 0936,,https://eatclub.com.au/venue/mama-s-trattoria,,,,,,$$,,"{""friday"":""11:30 AM – 3:00 PM, 5:00 – 9:30 PM"",""monday"":""11:30 AM – 3:00 PM, 5:00 – 9:00 PM"",""sunday"":""CLOSED"",""tuesday"":""11:30 AM – 3:00 PM, 5:00 – 9:00 PM"",""saturday"":""5:00 – 9:30 PM"",""thursday"":""11:30 AM – 3:00 PM, 5:00 – 9:30 PM"",""wednesday"":""11:30 AM – 3:00 PM, 5:00 – 9:00 PM""}",-35.2787556,149.1279101,2026-01-07T23:20:53.796Z,2026-01-08T01:30:51.825Z
1255,Mochachos Kingston,Kingston,"34 Eyre St, Kingston ACT 2604, Australia",,(02) 6128 0743,,https://eatclub.com.au/venue/mochachos-kingston,,,,[object Object]; [object Object],,,https://eccdn.com.au/images/B9E809FA-2A28-4651-AFD7-5C0471AE399B/B9E809FA-2A28-4651-AFD7-5C0471AE399B_image_3_1727190678846.jpg; https://eccdn.com.au/images/B9E809FA-2A28-4651-AFD7-5C0471AE399B/B9E809FA-2A28-4651-AFD7-5C0471AE399B_image_4_1727190699592.jpg; https://eccdn.com.au/images/B9E809FA-2A28-4651-AFD7-5C0471AE399B/B9E809FA-2A28-4651-AFD7-5C0471AE399B_image_0_1727190678846.jpg; https://eccdn.com.au/images/B9E809FA-2A28-4651-AFD7-5C0471AE399B/B9E809FA-2A28-4651-AFD7-5C0471AE399B_image_2_1727190678846.jpg; https://eccdn.com.au/images/B9E809FA-2A28-4651-AFD7-5C0471AE399B/B9E809FA-2A28-4651-AFD7-5C0471AE399B_image_1_1727190678846.jpg,"{""friday"":""10:00 AM – 9:00 PM"",""monday"":""10:00 AM – 9:00 PM"",""sunday"":""10:00 AM – 9:00 PM"",""tuesday"":""10:00 AM – 9:00 PM"",""saturday"":""10:00 AM – 9:00 PM"",""thursday"":""10:00 AM – 9:00 PM"",""wednesday"":""10:00 AM – 9:00 PM""}",-35.3163399,149.1427564,2026-01-07T23:22:04.834Z,2026-01-08T01:39:42.073Z
293,BlackFire Restaurant Canberra,Braddon,"45/38 Mort St, Braddon ACT 2612, Australia",,(02) 6230 5921,,https://eatclub.com.au/venue/blackfire-restaurant-canberra,,,,,,$$$,,"{""friday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM"",""monday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM"",""sunday"":""9:00 AM – 2:00 PM, 5:30 – 9:00 PM"",""tuesday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM"",""saturday"":""9:00 AM – 2:00 PM, 5:30 – 9:00 PM"",""thursday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM"",""wednesday"":""12:00 – 2:00 PM, 5:30 – 9:00 PM""}",-35.2730160,149.1317587,2026-01-07T23:21:05.919Z,2026-01-08T00:52:44.425Z
397,The Mustang Nepalese Restaurant & Bar,Farrer,"4 Farrer Pl, Farrer ACT 2607, Australia",Asian,(02) 6286 8088,,https://eatclub.com.au/venue/the-mustang-nepalese-restaurant-bar,,,,,,$$,,"{""friday"":""5:00 – 9:00 PM"",""monday"":""5:00 – 9:00 PM"",""sunday"":""5:00 – 9:00 PM"",""tuesday"":""5:00 – 9:00 PM"",""saturday"":""5:00 – 9:00 PM"",""thursday"":""5:00 – 9:00 PM"",""wednesday"":""5:00 – 9:00 PM""}",-35.3754303,149.1015385,2026-01-07T23:21:12.233Z,2026-01-08T00:53:13.922Z
451,GravyT,Phillip,"T1 C02/6 Furzer St, Phillip ACT 2606, Australia",,(02) 5115 0770,,https://eatclub.com.au/venue/gravyt-indo-mexican,,,,[object Object],,,http://54.252.51.138/wp-content/uploads/2025/09/GravyT_why-choose-us.jpg,"{""friday"":""11:00 AM – 9:00 PM"",""monday"":""11:00 AM – 9:00 PM"",""sunday"":""11:00 AM – 9:00 PM"",""tuesday"":""11:00 AM – 9:00 PM"",""saturday"":""11:00 AM – 9:00 PM"",""thursday"":""11:00 AM – 9:00 PM"",""wednesday"":""11:00 AM – 9:00 PM""}",-35.3409183,149.0837085,2026-01-07T23:21:15.462Z,2026-01-07T23:21:15.462Z
497,The Valley Pub,Wanniassa,,,,,https://eatclub.com.au/venue/the-valley-pub,,,,[object Object],,,,{},,,2026-01-07T23:21:18.175Z,2026-01-08T00:53:39.477Z
519,Sammy's Diner,Belconnen,,,,,https://eatclub.com.au/venue/sammy-s-diner,,,,[object Object],,,,{},,,2026-01-07T23:21:19.513Z,2026-01-07T23:21:19.513Z
532,Vanilla Pod Pizza & Pasta Bar Kingston,Kingston,"35 Kennedy St, Kingston ACT 2604, Australia",Italian,(02) 6162 1122,,https://eatclub.com.au/venue/vanilla-pod-pizza-pasta-bar-kingston,,,,[object Object],,$$,https://vanillapodkingston.com.au/wp-content/uploads/2024/07/beeflasagne-scaled-1-1024x683.jpeg,"{""friday"":""7:00 AM – 9:30 PM"",""monday"":""7:00 AM – 9:00 PM"",""sunday"":""7:00 AM – 9:00 PM"",""tuesday"":""7:00 AM – 9:00 PM"",""saturday"":""7:00 AM – 9:30 PM"",""thursday"":""7:00 AM – 9:00 PM"",""wednesday"":""7:00 AM – 9:00 PM""}",-35.3166583,149.1413083,2026-01-07T23:21:20.275Z,2026-01-07T23:21:20.275Z
538,Canberra Cafe & Burgers - Greenway,Greenway,,,,,https://eatclub.com.au/venue/canberra-cafe-burgers-greenway,,,,[object Object],,,,{},,,2026-01-07T23:21:20.648Z,2026-01-07T23:21:20.648Z
540,Oscy's Burgers - Greenway,Greenway,,,,,https://eatclub.com.au/venue/oscy-s-burgers-greenway,,,,[object Object],,,,{},,,2026-01-07T23:21:20.753Z,2026-01-07T23:21:20.753Z
564,EQ Cafe & Bakehouse - Gungahlin,Gungahlin,,,,,https://eatclub.com.au/venue/eq-cafe-bakehouse-gungahlin,,,,[object Object],,,,{},,,2026-01-07T23:21:22.204Z,2026-01-07T23:21:22.204Z
579,Ken Behrens Cafe & Burgers Erindale,Wanniassa,"2/33 Gartside St, Wanniassa ACT 2903, Australia",Cafe,0414 791 794,,https://eatclub.com.au/venue/ken-behrens-cafe-burgers-erindale,,,,[object Object],,,,"{""friday"":""5:00 – 9:30 PM"",""monday"":""5:00 – 9:00 PM"",""sunday"":""5:00 – 9:00 PM"",""tuesday"":""5:00 – 9:00 PM"",""saturday"":""5:00 – 9:00 PM"",""thursday"":""5:00 – 9:00 PM"",""wednesday"":""5:00 – 9:00 PM""}",-35.4052932,149.1001562,2026-01-07T23:21:23.094Z,2026-01-07T23:21:23.094Z
