Restaurant Name,Deal Title,Description,Days,Hours,Suburb,Address,Price,Updated,Website
Hopscotch,Monday Burger Special,"$25 Burger with any house drink",Monday,All day,Braddon,5 Lonsdale St Braddon ACT 2612,$25,Updated January 2026,
Hopscotch,Tuesday Pizza Special,"$25 Pizza with any house drink",Tuesday,All day,Braddon,5 Lonsdale St Braddon ACT 2612,$25,Updated January 2026,
Hopscotch,Wednesday Pasta Special,"$25 Pasta with any house drink",Wednesday,All day,Braddon,5 Lonsdale St Braddon ACT 2612,$25,Updated January 2026,
Hopscotch,Thursday Schnitzel Special,"$25 Schnitty with any house drink",Thursday,All day,Braddon,5 Lonsdale St Braddon ACT 2612,$25,Updated January 2026,
Kickstart Expresso,Tradies Special,"One large coffee and toasted sandwich",Daily,All day,Canberra,,$14.90,Updated January 2026,
Loquita,Taco Special,"$15 for 3 tacos",Daily,All day,Canberra,17 Garema Pl Canberra ACT 2601,$15,Updated January 2026,
Old Canberra Inn,Vegan Curry Special,"$21 vegan curry with rice and flatbread",Daily,All day,Canberra,,$21,Updated January 2026,
Café Momo,Bacon and Egg Roll Special,"$12 bacon and egg roll and a coffee",Daily,All day,Bruce,,$12,Updated January 2026,
Dickson Tradies,Bacon and Egg Roll Special,"$15 bacon and egg roll and a coffee",Daily,All day,Dickson,,$15,Updated January 2026,
Dolly's,Bacon and Egg Roll Special,"$12 bacon and egg roll and coffee",Daily,All day,Canberra,,$12,Updated January 2026,
The Fish Shack,Shack Basket,"3 pieces of fish, calamari rings, prawns, chips or salad",Daily,All day,Canberra,,$20,Updated January 2026,
Flatheads O'Connor,Bacon and Egg Roll Special,"$10 bacon and egg roll and a coffee",Daily,All day,O'Connor,,$10,Updated January 2026,
Raiders Gungahlin,Lunch Specials,"$16 lunches including schnitzel, fish or curry",Daily,All day,Gungahlin,,$16,Updated January 2026,
Ainslie Football Club,Weekday Schnitzel,"$16 schnitzel with chips and coleslaw",Monday to Friday,All day,Ainslie,,$16,Updated January 2026,
Bleachers Bar,Weekday Lunch Specials,"$20 lunch specials including steak, parmigiana, burgers or fish, all with chips",Monday to Friday,All day,Canberra,,$20,Updated January 2026,
Caribou,Weekday Burger Special,"$22 burger and soft drink",Monday to Friday,All day,Canberra,,$22,Updated January 2026,
Eighty Twenty,Bacon and Egg Roll Special,"$10.90 bacon and egg roll or wrap with a coffee",Monday to Friday,All day,Canberra,,$10.90,Updated January 2026,
Eighty Twenty,Sandwich Special,"$13.90 sandwiches with a coffee",Monday to Friday,All day,Canberra,,$13.90,Updated January 2026,
Hellenic Club City,Weekday Lunch Specials,"$15 or less lunch specials",Monday to Friday,All day,Canberra,,$15,Updated January 2026,
Lanyon Vikings,Weekday Lunch Specials,"$15 weekday lunches",Monday to Friday,12pm to 2pm,Lanyon,,$15,Updated January 2026,
Natural Nine,Chop Chop Lunch,"$15 Chop Chop lunch and soft drink",Monday to Thursday,All day,Canberra,,$15,Updated January 2026,
The RUC,Weekday Lunch Specials,"$15 lunch specials",Monday to Friday,12pm to 2pm,Turner,54 McCaughey St Turner ACT 2616,$15,Updated January 2026,
Turkish Pide House Woden,Lunch Boxes,"$20 lunch boxes, choose from low carb, healthy, taste or vegi options with a drink",Monday to Friday,All day,Woden,,$20,Updated January 2026,
Casey Jones Pub,Monday Kids Meal,"One free kids meal with any main meal",Monday,All day,Canberra,,Free,Updated January 2026,
The Denman Kitchen,Monday Special,"$25 for specials board meal and a drink",Monday,All day,Canberra,,$25,Updated January 2026,
Dolly's,Monday Taco Special,"$15 for 2 chicken tacos",Monday,All day,Canberra,,$15,Updated January 2026,
Dickson Taphouse,Monday Pasta Special,"Half-price pastas",Monday,All day,Dickson,30 Woolley St Dickson ACT 2602,Half-price,Updated January 2026,
The District,Monday Special,"$20 pizzas and pastas",Monday,All day,Canberra,,$20,Updated January 2026,
Edgar's,Monday Burger Special,"$23 burger with a house wine/beer or soft drink",Monday,All day,Canberra,,$23,Updated January 2026,
Fricken,Monday Lunch Specials,"$15 lunch specials including sliders, cauliflower nuggets or chicken strips, all with chips and a drink",Monday,11:30am to 2:30pm,Braddon,58/10 Lonsdale St Braddon ACT 2612,$15,Updated January 2026,
Kambah Inn,Monday Steak Special,"$25 rump steaks with a free beverage",Monday,11am to close,Kambah,,$25,Updated January 2026,
Lanyon Vikings,Monday Schnitzel,"$15 schnitzel",Monday,5:30pm to 9pm,Lanyon,,$15,Updated January 2026,
PJ O'Reilly's Tuggeranong,Monday Burger Special,"$15 selected burgers and chips all day",Monday,All day,Tuggeranong,,$15,Updated January 2026,
Public,Monday Pizza Special,"2 for 1 pizzas",Monday,All day,Canberra,,2 for 1,Updated January 2026,
Raiders Belconnen,Monday Kids Meal,"Buy 1 main meal and receive 1 kid's meal free",Monday,All day,Belconnen,,Free,Updated January 2026,
The RUC Turner,Monday Steak Special,"$15 rump steak, chips and a salad",Monday,All day,Turner,54 McCaughey St Turner ACT 2616,$15,Updated January 2026,
Southern Cross Club Tuggeranong,Monday Special,"$21 prawn linguini, steak or fish",Monday,All day,Tuggeranong,,$21,Updated January 2026,
Southern Cross Club Jamison,Monday Special,"$21 prawn linguini, steak or fish",Monday,All day,Jamison,,$21,Updated January 2026,
Walt and Burley,Monday Fish and Chips,"$20 fish and chips",Monday,All day,Canberra,,$20,Updated January 2026,
Yaki Boi,Monday All You Can Eat,"$38pp all you can eat",Monday,All day,Canberra,,$38,Updated January 2026,
3rd Space,Tuesday Pizza Special,"$40 for 2 pizzas",Tuesday,All day,Canberra,,$40,Updated January 2026,
The Alby,Tuesday Taco Special,"$20 for 3 tacos",Tuesday,All day,Canberra,,$20,Updated January 2026,
Amici,Tuesday Bottomless Pasta,"$30pp bottomless pasta",Tuesday,All day,Canberra,,$30,Updated January 2026,
As You Like It Café & Bar,Tuesday Breakfast Special,"$10 breakfast menu",Tuesday,All day,Canberra,,$10,Updated January 2026,
Bleachers,Tuesday Schnitzel Special,"$20 chicken schnitzel, fries, coleslaw and a beer",Tuesday,All day,Canberra,,$20,Updated January 2026,
Central Social Club,Tuesday Pizza Special,"$18 pizzas",Tuesday,All day,Canberra,,$18,Updated January 2026,
The Denman Kitchen,Tuesday Steak Special,"$25 for steak and a drink",Tuesday,All day,Canberra,,$25,Updated January 2026,
Dickson Taphouse,Tuesday Curry Night,"$18 curry night",Tuesday,All day,Dickson,30 Woolley St Dickson ACT 2602,$18,Updated January 2026,
Dolly's,Tuesday Schnitzel Special,"$15 chicken schnitzels",Tuesday,All day,Canberra,,$15,Updated January 2026,
Edgars,Tuesday Steak Special,"$29 steak with a drink",Tuesday,All day,Canberra,,$29,Updated January 2026,
The George Harcourt Inn,Tuesday Special,"$20 schnitzel or Guinness pie or $22 chicken parmigiana, all served with chips, salad and a drink",Tuesday,All day,Canberra,,$20,Updated January 2026,
Grease Monkeys,Tuesday Burger Special,"Free beer with any burger",Tuesday,All day,Canberra,,Free,Updated January 2026,
Hellenic Club City,Tuesday Special,"$19.90 steak or schnitzel with sides and a drink",Tuesday,All day,Canberra,,$19.90,Updated January 2026,
Hopscotch,Tuesday Pizza Special,"$15 pizzas",Tuesday,All day,Braddon,5 Lonsdale St Braddon ACT 2612,$15,Updated January 2026,
Kambah Inn,Tuesday Schnitzel Special,"$20 schnitzel and free beverage",Tuesday,11am to 8pm,Kambah,,$20,Updated January 2026,
PJ O'Reilly's Tuggeranong,Tuesday Lunch Special,"$15 selected meals, lunch only",Tuesday,Lunch only,Tuggeranong,,$15,Updated January 2026,
The RUC,Tuesday Schnitzel Special,"$15 chicken schnitzel, chips and salad",Tuesday,5pm to close,Turner,54 McCaughey St Turner ACT 2616,$15,Updated January 2026,
Two Blind Mice,Tuesday Pizza Special,"$19 pizzas",Tuesday,All day,Canberra,,$19,Updated January 2026,
UC Bar x,Tuesday Burger Special,"$13 burger & chips (chicken, beef or plant-based)",Tuesday,All day,Canberra,,$13,Updated January 2026,
Yaki Boi,Tuesday Burger Special,"$10 chicken burger and chips",Tuesday,All day,Canberra,,$10,Updated January 2026,
The Alby,Wednesday Lunch Specials,"$20 lunch specials including schnitzel, tacos, kebabs, lasagne and more",Wednesday,All day,Canberra,,$20,Updated January 2026,
Central Social Club,Wednesday Burger Special,"$18 burgers",Wednesday,All day,Canberra,,$18,Updated January 2026,
The Denman Kitchen,Wednesday Burger Special,"$25 for a burger and drink",Wednesday,All day,Canberra,,$25,Updated January 2026,
The District,Wednesday Steak Special,"$30 porterhouse with fries and salad",Wednesday,All day,Canberra,,$30,Updated January 2026,
Dolly's,Wednesday Burger Deal,"$15 burger deal",Wednesday,All day,Canberra,,$15,Updated January 2026,
Edgars,Wednesday Schnitzel Special,"$25 schnitzels with house beer, wine or soft drink",Wednesday,All day,Canberra,,$25,Updated January 2026,
Erindale Vikings,Wednesday Special,"$16 schnitzel or burger",Wednesday,5:30pm to close,Erindale,,$16,Updated January 2026,
Fenway Public House,Wednesday Wings Special,"Half-priced chicken wings",Wednesday,All day,Canberra,,Half-price,Updated January 2026,
Fricken,Wednesday Wings Special,"50c wings",Wednesday,5pm to close,Braddon,58/10 Lonsdale St Braddon ACT 2612,$0.50,Updated January 2026,
Hellenic Club City,Wednesday Parmigiana Special,"$16.90 chicken parmigiana and sides",Wednesday,All day,Canberra,,$16.90,Updated January 2026,
Mawson Club,Wednesday Schnitzel Special,"$12.50 chicken or pork schnitzel, chips and salad",Wednesday,All day,Mawson,,$12.50,Updated January 2026,
The Pedlar,Wednesday Parmigiana Special,"$25 parmigiana and a house drink",Wednesday,All day,Canberra,,$25,Updated January 2026,
PJ O'Reilly's Tuggeranong,Wednesday Steak Special,"$17 steak and chips or mash or salad",Wednesday,All day,Tuggeranong,,$17,Updated January 2026,
Public,Wednesday Steak Special,"$25 sirloin steak, chips and salad with a drink",Wednesday,All day,Canberra,,$25,Updated January 2026,
Raiders Belconnen,Wednesday Schnitzel Special,"$15 chicken schnitzel with two sides",Wednesday,All day,Belconnen,,$15,Updated January 2026,
The RUC,Wednesday Burger Special,"$15 burgers, chips and salad",Wednesday,5pm to close,Turner,54 McCaughey St Turner ACT 2616,$15,Updated January 2026,
Southern Cross Club Woden,Wednesday Kids Meal,"Buy a main meal and receive a kid's meal free",Wednesday,All day,Woden,,Free,Updated January 2026,
Southern Cross Club Jamison,Wednesday Kids Meal,"Buy a main meal and receive a kid's meal free",Wednesday,All day,Jamison,,Free,Updated January 2026,
Southern Cross Club Tuggeranong,Wednesday Kids Meal,"Buy a main meal and receive a kid's meal free",Wednesday,All day,Tuggeranong,,Free,Updated January 2026,
Two Blind Mice Curtin,Wednesday Burger Special,"$19 burgers",Wednesday,All day,Curtin,,$19,Updated January 2026,
Walt and Burley,Wednesday Pasta Special,"$20 pasta of the week",Wednesday,All day,Canberra,,$20,Updated January 2026,
3rd Space,Thursday Kids Meal,"Kids eat free",Thursday,All day,Canberra,,Free,Updated January 2026,
Cornerstone Pub,Thursday Pizza Special,"$49.95 for two pizzas with a free garlic bread and jug of soft drink",Thursday,5:30pm to 8:30pm,Canberra,,$49.95,Updated January 2026,
Cypher Brewing Co,Thursday Burger Special,"$20 for a Cypher burger or veggie Cypher burger with shoestring fries and a schooner of lager",Thursday,All day,Canberra,,$20,Updated January 2026,
The Denman Kitchen,Thursday Schnitzel Special,"$25 for a schnitzel and a drink",Thursday,All day,Canberra,,$25,Updated January 2026,
District,Thursday Schnitzel Special,"$20 schnitzel, fries and salad",Thursday,All day,Canberra,,$20,Updated January 2026,
Dolly's,Thursday Wings Special,"$15 for 1/2kg wings and a house drink",Thursday,All day,Canberra,,$15,Updated January 2026,
Fenway Public House,Thursday Taco Special,"$5 tacos",Thursday,All day,Canberra,,$5,Updated January 2026,
Fricken,Thursday Lunch Specials,"$15 lunches including sliders, cauliflower nuggets or chicken strips, all with chips and a drink",Thursday,11:30am to 2:30pm,Braddon,58/10 Lonsdale St Braddon ACT 2612,$15,Updated January 2026,
Hellenic Club City,Thursday Burger Special,"$14.90 burgers, chips and onion rings",Thursday,All day,Canberra,,$14.90,Updated January 2026,
Kambah Inn,Thursday Taco Special,"Buy 2 tacos, get 1 free. Breakfast tacos from 6am-2pm or chicken, pork or fish tacos from 11am-8pm",Thursday,6am to 8pm,Kambah,,Buy 2 get 1 free,Updated January 2026,
Olive at Hawker,Thursday Online Discount,"15% discount on all online food orders",Thursday,All day,Hawker,,15% off,Updated January 2026,
The Pedlar,Thursday Burger Special,"$20 burger with a house drink",Thursday,All day,Canberra,,$20,Updated January 2026,
Southern Cross Club Woden,Thursday Burger Special,"$20 gourmet burger and a drink",Thursday,All day,Woden,,$20,Updated January 2026,
Southern Cross Club Tuggeranong,Thursday Burger Special,"$20 gourmet burger and a drink",Thursday,All day,Tuggeranong,,$20,Updated January 2026,
Southern Cross Club Jamison,Thursday Burger Special,"$20 gourmet burger and a drink",Thursday,All day,Jamison,,$20,Updated January 2026,
UC Bar X,Thursday Schnitzel Special,"$13 chicken schnitzel or $15 parmigiana",Thursday,All day,Canberra,,$13,Updated January 2026,
Weston Creek Labor Club,Thursday Kids Meal,"Complimentary kids meal with any full priced main meal",Thursday,Dinner only,Weston Creek,,Free,Updated January 2026,
The Alby,Friday Lunch Specials,"$20 lunch specials including schnitzel, tacos, kebabs, lasagne and more",Friday,All day,Canberra,,$20,Updated January 2026,
Fenway Public House,Friday Burger Special,"$15 burgers",Friday,All day,Canberra,,$15,Updated January 2026,
Fricken,Friday Burger Special,"$20 burger, chips and drink",Friday,All day,Braddon,58/10 Lonsdale St Braddon ACT 2612,$20,Updated January 2026,
Hellenic Club City,Friday Burger Special,"$14.90 burgers, chips and onion rings",Friday,All day,Canberra,,$14.90,Updated January 2026,
PJ O'Reilly's Tuggeranong,Friday Special,"$25 beer jug and wings or nachos",Friday,All day,Tuggeranong,,$25,Updated January 2026,
Such & Such,Friday Oyster Special,"$2 oysters",Friday,3pm to 5pm,Canberra,,$2,Updated January 2026,
Weston Creek Labor Club,Friday Kids Meal,"Complimentary kids meal with any full priced main meal",Friday,Dinner only,Weston Creek,,Free,Updated January 2026,
The Alby,Saturday Lunch Specials,"$20 lunch specials including schnitzel, tacos, kebabs, lasagne and more",Saturday,All day,Canberra,,$20,Updated January 2026,
Dickson Tradies,Saturday Roast,"$18 roast lunch",Saturday,All day,Dickson,,$18,Updated January 2026,
Fenway Public House,Saturday Discount,"20% off all main meals",Saturday,All day,Canberra,,20% off,Updated January 2026,
Mawson Club,Saturday Lunch Specials,"$12 lunch specials",Saturday,All day,Mawson,,$12,Updated January 2026,
UC Bar x,Saturday Pizza Special,"Buy any pizza and get a free drink",Saturday,All day,Canberra,,Free drink,Updated January 2026,
Weston Creek Labor Club,Saturday Kids Meal,"Complimentary kids meal with any full priced main meal",Saturday,Dinner only,Weston Creek,,Free,Updated January 2026,
3rd Space,Sunday Pizza Special,"$59.90 for two pizzas and a bottle of wine",Sunday,5pm to 8pm,Canberra,,$59.90,Updated January 2026,
Chisholm Vikings,Sunday Pizza Special,"$29.90 for two wood-fired pizzas and garlic bread",Sunday,12pm to 2pm and 5:30pm to 9pm,Chisholm,,$29.90,Updated January 2026,
Dickson Tradies,Sunday Roast,"$18 roast lunch",Sunday,All day,Dickson,,$18,Updated January 2026,
The District,Sunday Burger Special,"$20 burger with fries",Sunday,All day,Canberra,,$20,Updated January 2026,
Edgar's,Sunday Roast,"$25 roast with sides, a beer, house wine or soft drink",Sunday,All day,Canberra,,$25,Updated January 2026,
Fenway Public House,Sunday Schnitzel Special,"$20 schnitzels",Sunday,All day,Canberra,,$20,Updated January 2026,
Hopscotch,Sunday Wings Special,"50c wings all day",Sunday,All day,Braddon,5 Lonsdale St Braddon ACT 2612,$0.50,Updated January 2026,
Mawson Club,Sunday Lunch Specials,"$12 lunch specials",Sunday,All day,Mawson,,$12,Updated January 2026,
The Pedlar,Sunday Schnitzel Special,"$20 schnitzel and a house drink",Sunday,All day,Canberra,,$20,Updated January 2026,
Public,Sunday Roast,"$25 Sunday roast (meat and sides)",Sunday,All day,Canberra,,$25,Updated January 2026,
Southern Cross Club Woden,Sunday Roast,"$22 roast of the day",Sunday,All day,Woden,,$22,Updated January 2026,
Southern Cross Club Tuggeranong,Sunday Roast,"$22 roast of the day",Sunday,All day,Tuggeranong,,$22,Updated January 2026,
Southern Cross Club Jamison,Sunday Roast,"$22 roast of the day",Sunday,All day,Jamison,,$22,Updated January 2026,
Two Blind Mice,Sunday Charcuterie Special,"Buy a charcuterie board and get two free Aperol Spritz",Sunday,All day,Canberra,,Free drinks,Updated January 2026,
Walt and Burley,Sunday Schnitzel Special,"$20 schnitty",Sunday,All day,Canberra,,$20,Updated January 2026,
